theta,Bi-Bi-Bi,Total
0.50000,0.00000,0.00000
1.50000,0.00000,0.00000
2.50000,0.00000,0.00000
3.50000,0.00000,0.00000
4.50000,0.00000,0.00000
5.50000,0.00000,0.00000
6.50000,0.00000,0.00000
7.50000,0.00000,0.00000
8.50000,0.00000,0.00000
9.50000,0.00000,0.00000
10.50000,0.00000,0.00000
11.50000,0.00000,0.00000
12.50000,0.00000,0.00000
13.50000,0.00000,0.00000
14.50000,0.00000,0.00000
15.50000,0.00000,0.00000
16.50000,0.00000,0.00000
17.50000,0.00000,0.00000
18.50000,0.00000,0.00000
19.50000,0.00000,0.00000
20.50000,0.00000,0.00000
21.50000,0.00000,0.00000
22.50000,0.00000,0.00000
23.50000,0.00000,0.00000
24.50000,0.00000,0.00000
25.50000,0.00000,0.00000
26.50000,0.00000,0.00000
27.50000,0.00000,0.00000
28.50000,0.00000,0.00000
29.50000,0.00000,0.00000
30.50000,0.00000,0.00000
31.50000,0.00000,0.00000
32.50000,0.00000,0.00000
33.50000,0.00000,0.00000
34.50000,0.00000,0.00000
35.50000,0.00000,0.00000
36.50000,0.00000,0.00000
37.50000,0.00000,0.00000
38.50000,0.00000,0.00000
39.50000,0.00000,0.00000
40.50000,0.00000,0.00000
41.50000,0.00000,0.00000
42.50000,0.00000,0.00000
43.50000,0.00000,0.00000
44.50000,0.00000,0.00000
45.50000,0.00000,0.00000
46.50000,0.00000,0.00000
47.50000,0.00000,0.00000
48.50000,0.00037,0.00037
49.50000,0.00037,0.00037
50.50000,0.00183,0.00183
51.50000,0.00073,0.00073
52.50000,0.00403,0.00403
53.50000,0.00440,0.00440
54.50000,0.00550,0.00550
55.50000,0.00623,0.00623
56.50000,0.00770,0.00770
57.50000,0.00770,0.00770
58.50000,0.00880,0.00880
59.50000,0.00953,0.00953
60.50000,0.01173,0.01173
61.50000,0.00953,0.00953
62.50000,0.00843,0.00843
63.50000,0.00660,0.00660
64.50000,0.00770,0.00770
65.50000,0.00770,0.00770
66.50000,0.00953,0.00953
67.50000,0.01173,0.01173
68.50000,0.00953,0.00953
69.50000,0.00807,0.00807
70.50000,0.01100,0.01100
71.50000,0.01173,0.01173
72.50000,0.01063,0.01063
73.50000,0.01027,0.01027
74.50000,0.01247,0.01247
75.50000,0.00880,0.00880
76.50000,0.01247,0.01247
77.50000,0.01650,0.01650
78.50000,0.01247,0.01247
79.50000,0.01173,0.01173
80.50000,0.01540,0.01540
81.50000,0.01540,0.01540
82.50000,0.01393,0.01393
83.50000,0.01283,0.01283
84.50000,0.01467,0.01467
85.50000,0.01540,0.01540
86.50000,0.01724,0.01724
87.50000,0.01357,0.01357
88.50000,0.02017,0.02017
89.50000,0.01687,0.01687
90.50000,0.01430,0.01430
91.50000,0.00843,0.00843
92.50000,0.01320,0.01320
93.50000,0.01540,0.01540
94.50000,0.01283,0.01283
95.50000,0.01503,0.01503
96.50000,0.01613,0.01613
97.50000,0.01173,0.01173
98.50000,0.01063,0.01063
99.50000,0.01137,0.01137
100.50000,0.01137,0.01137
101.50000,0.01283,0.01283
102.50000,0.00953,0.00953
103.50000,0.00917,0.00917
104.50000,0.00990,0.00990
105.50000,0.00990,0.00990
106.50000,0.00990,0.00990
107.50000,0.00623,0.00623
108.50000,0.00917,0.00917
109.50000,0.00990,0.00990
110.50000,0.00990,0.00990
111.50000,0.00807,0.00807
112.50000,0.00880,0.00880
113.50000,0.00770,0.00770
114.50000,0.01137,0.01137
115.50000,0.00770,0.00770
116.50000,0.00733,0.00733
117.50000,0.00623,0.00623
118.50000,0.00623,0.00623
119.50000,0.00550,0.00550
120.50000,0.00587,0.00587
121.50000,0.00770,0.00770
122.50000,0.00587,0.00587
123.50000,0.00587,0.00587
124.50000,0.00660,0.00660
125.50000,0.00550,0.00550
126.50000,0.00770,0.00770
127.50000,0.00550,0.00550
128.50000,0.00550,0.00550
129.50000,0.00550,0.00550
130.50000,0.00477,0.00477
131.50000,0.00697,0.00697
132.50000,0.00953,0.00953
133.50000,0.00513,0.00513
134.50000,0.00623,0.00623
135.50000,0.00953,0.00953
136.50000,0.00697,0.00697
137.50000,0.00550,0.00550
138.50000,0.00440,0.00440
139.50000,0.00550,0.00550
140.50000,0.00697,0.00697
141.50000,0.00550,0.00550
142.50000,0.00477,0.00477
143.50000,0.00843,0.00843
144.50000,0.00660,0.00660
145.50000,0.00587,0.00587
146.50000,0.00550,0.00550
147.50000,0.00587,0.00587
148.50000,0.00587,0.00587
149.50000,0.00477,0.00477
150.50000,0.00660,0.00660
151.50000,0.00403,0.00403
152.50000,0.00293,0.00293
153.50000,0.00623,0.00623
154.50000,0.00293,0.00293
155.50000,0.00403,0.00403
156.50000,0.00403,0.00403
157.50000,0.00587,0.00587
158.50000,0.00293,0.00293
159.50000,0.00587,0.00587
160.50000,0.00220,0.00220
161.50000,0.00440,0.00440
162.50000,0.00073,0.00073
163.50000,0.00513,0.00513
164.50000,0.00440,0.00440
165.50000,0.00330,0.00330
166.50000,0.00293,0.00293
167.50000,0.00147,0.00147
168.50000,0.00257,0.00257
169.50000,0.00257,0.00257
170.50000,0.00073,0.00073
171.50000,0.00147,0.00147
172.50000,0.00183,0.00183
173.50000,0.00183,0.00183
174.50000,0.00073,0.00073
175.50000,0.00147,0.00147
176.50000,0.00147,0.00147
177.50000,0.00110,0.00110
178.50000,0.00037,0.00037
179.50000,0.00037,0.00037
